Name,Institutions,Mechanism,Culture/Values/Norms,Meta-Mechanisms,Notes,Time span,Geography,Size,Source,Metanotes,Heterogeneity ,FC comments,LIZA's comments,FABIO's comments,Jonas' comments
Shasta County Ranchers,"County Board of Supervisors, Cattlemen's Association, CowBelles","Election,President/Consul,Voting,Self-help,Board/Committee,Petition,Seizing of property,Reputational risk,Paying damages/compensation,Punishment,Litigation,Arbitration,Public meetings,Jury/Judge","Mutual restraint (Live and let live), Solidarity, Cooperation, Unwritten rules, Reputation/Honour, Competition","Collective-choice arrangements, Conflict-resolution mechanisms","County Board of Supervisors, Cattlemen's Association (mostly male), CowBelles (women)
- The Board of Supervisors can adopt close-range ordinances which increases the liability of ranchers. Constituents who wish for a close-range ordinance must submit a petition 'that identifies a specific territory for closure, gather signatures on copies of the petition, and forward the signed petition to the Board.' (p. 643) 'Upon receiving a petition, the Board's staff drafts an ordinance that will implement the closure and publicizes a hearing on the proposed measure.' (p. 644) Opponents may gather signatures for a counter-petition. 'At the public hearing, the Board hears statements from proponents and opponents and then votes on the measure.' (p. 644)

Ranchers sometimes (e.g. when settling fence disputes) ignore Californian or county laws in favour of their traditions.

Traditionalists
- Fight for open ranges to let cattle roam free during summer 
Modernists
- Keep cattle enclosed at all times
- More active in managing vegetation
- 'tend to be younger than traditionalists, have more formal education, and be more active in the Cattlemen's Association' (p. 639)

Philosophy of live and let live
- Reciprocal restraint. The ranchers acknowledge that they will be on the receiving and giving ends of trespassing incidents which strengthens solidarity among them.

Due to regular damage caused by wildlife, the ranchers 'regard minor damage from alien animals not as an injurious event, but as an inevitable part of life.' (p. 674)

The ranchers very rarely pursue formal litigation. Reasons from interviewees: ""I'm not that kind of guy;"" ""I don't believe in it;"" ""I don't like to create a stink;"" ""I try to get along."" (p. 681) Trespass conflicts resolved  beyond the shadow of the law.

When balancing accounts, the ranchers prefer in-kind payments rather than cash.

Cattlemen keep mental records of the obligations between neighbours which usually balance out in the long term

Disciplining deviants by '(1) self-help retaliation (e.g. power of gossip, or even death threats of animals although illegal); (2) reports to county authorities; (3) claims for compensation informally submitted without the help of attorneys; and (4) attorney-assisted claims for compensation.' 
- With each technique, more law is utilised, the dispute gets more bitter, and the lesser chance it has of being used",Contemporary,North America,"100 - 1,000","Ellickson, Robert, and Robert C. ELLICKSON (1991), Order Without Law: How Neighbors Settle Disputes, Part I.

Ellickson, Robert, Of Coase and Cattle (1986), ",,,edited,,,
Shilluk People,"Reth, Bang Reth, Bareth, Queen, Male settlement chiefs, Ororo, Jagos, Thek","Capital punishment,Induction/rite/ceremony,Autocratic Leader/Chief (bound),King/Absolute Monarch (unbound),Litigation,Mediation,Heredity,Council (central),Alliance,Election,Voting,Electoral college","Cheating/Corruption, Egalitarianism, Supernatural, Obedience to authority, Reputation/Honour, Ritual",,"	Divine kingship
•	The king had to mark himself as outside conventional morality through acts such as murder, incest or cannibalism. ‘Always, such acts marked the king as a kind of “sacred monster,” a figure, effectively, outside of morality.’ (70)
	‘The Shilluk kingdom was clearly not a state. The Shilluk reth, or king, lacked any sort of administration and had little way to enforce his will.’ (65)
	Sort of egalitarian
	Rituals conducted by the reth
	Elites/nobility
	Possible belief that the reth was possessed by gods
	Institutionalised regicide
•	The Shilluk king, or reth, was indeed said to embody a divine being—a god, or at least a demigod—in the person of Nyikang, the legendary founder of the Shilluk nation. Every king was Nyikang. The reth was not supposed to die a natural death. He might fall in battle with the nation’s enemies. He might be killed in single combat after a rival prince demanded a duel, as they had a right to do, or be suffocated by his own wives or retainers if he was seen to be physically failing
•	Others have argued that it is the kingship and not the king which is divine
•	‘It is the community as a whole that must kill the king’
	Kings act as scapegoats for the wrongdoings of the society. Because he has already committed a crime, it is right to kill him anytime and thus cleanse the society
	‘kingship was originally a ritual institution. Only later did it become something we would think of as political—that is, concerned with making decisions and enforcing them through the threat of force.’ (72)
	‘Ordinarily, Shilluk kings did not even have the power to appoint or remove village chiefs. In the complete absence of any sort of administrative apparatus, their power was almost entirely personal: Nyadwai created and destroyed Ogam’s village using his own personal resources, his own herd of cattle, his own personal band of retainers. If he had tried to exterminate the lineage of a real village chief, not one he had made up, he would likely have found himself in very serious trouble. What’s more, a reth’s power in fact was almost entirely dependent on his physical presence’ (76)
	During disputes, the reth mostly acted as a mediator rather than as an enforcer
	‘In other words, kings often really would take on the role attributed to them in rain dramas: of spitefully unleashing arbitrary destruction on the people they were supposed to protect.’ (80)
	‘The king’s senior wife seems to have acted as his chief minister, and had the power to hold court and decide legal cases in the reth’s absence’ (85)
	‘In the absence of any administrative apparatus, royal women also appear to have become the key intermediaries between Fashoda and other communities. Essentially they played all the roles that court officials would otherwise play.’ (86)
	‘Princesses might also be appointed as governors over local districts(Hofmayr 1925: 71; Jackson in Frost 1974: 133–34), particularly if their brothers became king.’ (86)
	‘Shilluk society was in no sense a matriarchy. While women held extraordinary power within the royal apparatus, that apparatus was not in itself particularly powerful. The fact that the queen could render judicial judgments, for instance, is less impressive when one knows royal judgments were not usually enforced. Governance of day-to-day affairs seems to have rested firmly in the hands of male settlement chiefs, who were also in charge of electing a new king when the old one died. Village women also elected their own leaders, but these were much less important. Property passed in the male line.’ (87)
	‘(divine, arbitrary) power seems to have been increasingly contained within a ritual apparatus where royal women played the central political role.’ (87)
	Reths could create monopolies and impose taxes
	After the British rule was established ‘the reth was reduced to the usual tax-collector and administer of local justice under a system of indirect colonial rule’ (89)
	‘Today, the position of the reth remains, but, like the Shilluk themselves, just barely’ (89)
	‘The role of the Ororo is crucial. This is a class who represent a veritable institutionalization of this constitutive relation of hostility, and potential violence, on which the eternity of the kingdom is founded. Generally, the descendants of any prince who is not elected, should they grow numerous, become a named lineage within the royal clan, and the tomb of their princely ancestor becomes their lineage shrine. All members of such lineages are considered royals. In theory, the king can degrade any of these branches to Ororo status by attempting to sneak into their lineage shrine at night and performing certain secret rites, but the shrines are guarded, and if the king in question is caught, the attempt is considered to have failed.’ (99)
•	They are the royal executioners in that they preside over the execution of the reth.
	Election of the reth occurred during the interregnum which entailed lobbying, scheming, bribes,…
 ",Contemporary,South Sudan,"100,001 - 1 million members","Graeber, David and Marshall Sahlins, On Kings","HETEROGENEITY
- Formal inclusion : the king's wife acted as his chief advisor, princesses were appointed as governors. This indicates that women had formal roles and titles in the institutions
- Systemic power imbalance : the structure of the institutions was such that women could assume power in the ""absence of administrative apparatus"" and even the queen could make legal decisions ""in the reth’s absence."" Furthermore property rights were patrilineal and matriarchal village chiefs had little real authority. All of this shows that though women were formal included in governance, the institutions were designed to favour men. ","Gender groups,Systemic power imbalance,Formal inclusion",edited,,,
Siena,"Nine Governors and Defenders of the Sienese Commune, Council of the Bell, Podesta","Election,Magistrate/officials,Voting,Council (central),Frequent and/or regular meetings,President/Consul,Temporary position of power/Term Limits",,,"'during the first half of the fourteenth century Siena was governed by a merchant oligarchy, whereas after this point it was governed by several more short-lived regimes that involved significant popular participation and in which Siena’s merchants played a less dominant role.' (Stasavage, States of Credit, p. 191, EPUB version)

'During the period from 1287 to 1355 Siena was controlled by an oligarchical regime in which the city’s merchants were particularly well represented. During the decades after 1355, the commune was instead controlled by a sequence of regimes, several of which had much heavier popular participation and none of which was characterized by the same degree of merchant control.' (p. 196)

'Siena gained its independence as a commune during the twelfth century. After this point, like Genoa, it had a consular regime followed by rule of a podesta. Ultimate political authority in Siena rested with the city council (the Council of the Bell), which existed from 1176, and which intervened in all types of issues faced by the commune. From 1287 to 1355, while ultimate legitimacy remained with the Council of the Bell, the affairs of the commune were controlled by a committee of nine magistrates who held the title of the Nine Governors and Defenders of the Sienese Commune. More commonly, these individuals were simply referred to as the Nine. The Nine was actually a body of officials each of whom served a two-month term.' (p. 196)

'specific restrictions on the types of individuals who could serve on the Nine.' (p. 196)

'during the period of rule by the Nine, the same group of individuals eligible to serve as one of the Nine also typically held a significant fraction of the hundred seats on the Council of the Bell' (p. 197)",12th - 15th ce.,Western Europe,"10,001 - 100,000","Stasavage, David (2011), States of credit: size, power, and the development of European polities, EPUB version",,,revise after completing coverage,,,
Swiss City-States,Swiss city-councils,Council (local),Cooperation,,,13th - 15th centuries,Switzerland/ Central Europe,"10,001 - 100,000","Martina Stercken, Reichsstadt, eidgenossischer Ort, stadtische Territorialherrschaft, in Hansen, A Comparative Study of Thirty City-States Cultures",,,needs more work,,,
Tai Muang,"Chao, Muang","King/Absolute Monarch (unbound),Civil disobedience,Rule of Law","Cooperation, Supernatural, Obedience to authority, Written rules, Shared identity/Kinship",,"“A Muang was a settlement physically clustered around a ruler’s house and situated amid a rice plain that it ruled. A muang was, as Hansen defines a city-state, a ‘micro-state composed of one town with its immediate hinterland.”

“Secondly, the Muang functioned as a joint enterprise whose members expected a reasonable return on their social investment.”",13th to 16th cent,Southeast Asia,"10,001 - 100,000","Richard A. O’Connor, A Regional Explanation of the Tai Muang as a City-State in Hansen, A Comparative Study of Thirty City-State Cultures",,,edited,,,
Tairona,"Caciques, Chiefdom, Naoma, Lord of the province, Lord of a barrio, Capitanes, Mandadores, Capitanes de guerra, Principales, Pregonero, Mohanes","Alliance,Autocratic Leader/Chief (bound),Theocracy,Heredity","Unwritten rules, Ritual",,"‘The socio-political organization of Tairona culture during the early part of the sixteenth century consisted of relatively independent chiefdoms, each including a priestly class and a hierarchy of chiefs’ (Oyuela-Caycedo 2008, 423)

Various individual polities with no one clear winner
-	Polities governed by chiefs (caciques)
-	Shifting alliances between polities
",1050-1524 CE,North Colombia,"100,001 - 1 million members",CoTairo (http://seshatdatabank.info/browser/CoTairo),,,needs more work,,,
Teotihuacan (under the Aztec Triple Alliance),,"Council (local),Council (central),Assembly (local),Deliberation,Consensus",Egalitarianism,,"Graeber and Wengrow (2021)
- Cosmopolitan
- Their art rejected glorification of the aristocracy. 'Successfully prevented the emergence of 'dynastic personality cults.'' (p. 332)
- Collective governance possibly came after a revolt after an authoritarian regime after 300AD
- Egalitarian: Not like other Mesoamerican cities with 'warrior aristocracy and city-states governed by hereditary nobles.' (p. 341) Most likely no 'elite cadres of royal administrators or priests.' (p. 344)
- 'A more likely possibility is that authority was distributed among local assemblies, perhaps answerable to a governing council.' (p. 344)
- 'This might imply the delegation of government to neighbourhood councils with constituencies similar in size to those of Mesopotamian city-wards, or the assembly houses of Ukrainian mega-sites.' (p. 344)

Froese, Gershenson, Manzanilla (2014)
- 'during that time ideology deemphasized individual status and personal achievement in favor of highlighting universally applicable social and cosmological principles' (p. 2)
- There are two possible interpretations of the city's organisation: (i) authoritarian and centralised, (ii) de-centralised and 'governed in corporate manner' (p. 2). This is well-demonstrated on the case of the great demographic move to the urban region which might have been caused by a centralised policy decision or by the sudden eruption of the Popocatepetl volcano.

The possibility of some form of collective governance is supported by a mathematical model study by Froese, Gershenson, and Manzanilla (2014)",After 300AD,South America,"100,001 - 1 million members","Graeber, David and David Wengrow (2021), The Dawn of Everything

Froese, Gershenson, and Manzanilla (2014), Can Government Be Self-Organized? A Mathematical
Model of the Collective Social Organization of Ancient
Teotihuacan, Central Mexico","Needs further evidence to review Wengrow and Graeber's conclusions - Pasztory 1988/1992, Millon 1976/1988, Cowgill 1997, Froese, Gershenson, Manzanilla 2014, (possibly from the Seshat Database)",,needs more work,,,
The Azande of Central Africa (DO NOT PURSUE FURTHER),,"King/Absolute Monarch (unbound),Bureaucracy,Magistrate/officials",,,"'A Zande king chose those who administered
his territory, and he was not bound by any principles or practices of consent.' (p. 53)

'Kings would typically nominate their eldest sons to serve as governors of individual provinces, and they would also have a sizable central court of people that included both bureaucrats and warriors.' (p. 53)

'Kings were not strictly hereditary, but nor were they chosen by any sort of consensual process: when a king died, the rulers of individual provinces became kings in their own right, typically resulting in a violent struggle between them' (p. 53)",19th century,Africa,,"Stasavage, David (2020), The Decline and Rise of Democracy
","DO NOT PURSUE Look into: E. E. Evans-Pritchard, The Azande: history and political institutions",,DNP,,,
The Aztec Triple Alliance (DO NOT PURSUE FURTHER),Tlatoani,"King/Absolute Monarch (unbound),Bureaucracy,Election,Monitoring,Induction/rite/ceremony,Voting,Magistrate/officials,Board/Committee,Arbitration,Blood relations,Heredity","Ritual, Supernatural","Collective-choice arrangements, Nested enterprises","'Each individual city-state in the Aztec Empire was referred to as an altepetl. In their initial form these cities were governed by a king known as a tlatoani, who was selected by a council of nobles consisting of kin of the deceased ruler.' (p. 46)

'A conquered tlatoani who proved unfriendly could be replaced by outside intervention in favor of local nobles who were more compliant' (p. 47)

'The supreme authority for the empire was a body composed of an inner council that included the heads of the three principal cities and four prime ministers' (p. 48)

'An outer council included this inner group as well as “all lords of the empire.” This was not the type of council characterized by early democracy because it referred principally to bureaucratic subordinates.' 

'An Aztec king was responsible for almost everything that happened in his kingdom.' (Michael Smith (2012), p. 152)
- Aztec king: 'tlatoani' (pl. 'tlatoque')

'Tlatoque were selected by a high council of tetecuhtin nobles, male kin of the deceased ruler. Usually a brother or a son succeeded to the ofﬁce, but sometimes a nephew or grandson of the previous ruler was chosen (see the genealogy of the Mexica tlatoque in ﬁgure 2.9). The council deliberated to ﬁnd the appropriate successor, who was viewed as the god Tezcatlipoca’s selection to the post.' (p. 154)

'The tlatoani was assisted by a council of nobles and a series of lower-ranking bureaucrats. Other lords served as judges to hear suits, and in some city-states there was a group of superior or appeals judges.' (p. 155)

'In the Aztec case, however, the institutions of government gave commoners and nonroyal nobles some level of say and participation in civic affairs. Indeed, the processes of city-state governance can be viewed as a system of negotiation between the king, the nobility, and groups of commoners. The actions of kings were limited by the royal council – nobles who selected kings and on occasion may have deposed bad kings. The judges described by Zorita helped protect the rights of commoners, who received beneﬁts in the form of key services provided by the king.' (p. 156)

'In Blanton and Fargher’s analysis, the Aztecs are closer to the Greek city-states than to the African kingdoms.' (p. 156)
- More collective than autocratic


Enforcement:

'The installation of a new Mexica tlatoani involved a series of elaborate ceremonies and activities – a rite of passage through which the chosen noble was transformed into a being worthy of speaking in the voice of Tezcatlipoca. First, the candidate stood naked before the image of the god Huitzilopochtli to present offerings. He then went into retreat with his tetecuhtin for four days of fasting and penance. Upon emergence, he was required to lead a brief military excursion to gather captives for sacriﬁce at his installation ceremony. An all-night prayer vigil to Tezcatlipoca preceded the formal installation ceremony. The entire kingdom and tlatoque and nobles from other citystates were invited to witness the pageants, theatrical presentations, dances, musical performances, and human sacriﬁces that accompanied the ruler’s installation. These ceremonies were intended to impress upon the citizens the link between the new king and the god Tezcatlipoca, the supernatural basis for political authority.' (p. 154)",1428 - 1521 CE (Alliance),Central America,1 million - 10 million members,"Stasavage, David (2020), The Decline and Rise of Democracy

Smith, Michael, The Aztecs (2012)",,,DNP,,,
The Circassians,Council of Matriarchs,"Matriarchy,Council (central),Gerontocracy,Age boundaries",Obedience to authority,,"'female warriors played a direct—even dominant—role in government.' (Stasavage, David, p. 58)

'In the olden times, there was the Council of the Matriarchs, which was made up of wise and far-sighted mature ladies. The Council discussed the day-to- day issues of the young Narts, and legislated laws and customs according to which the youth had to abide in their mundane life. The Council members relied on their long experience and perspicacity in formulating relevant edicts' (Jaimoukha (2001), p. 165)

same passage also cited in Maxime Kovalevsky ‘La famille matriarcale au Caucase’, in L’Anthropologie, vol. 4, 1893, pp 259- 78. There is no additional info on this council. in any of the sources.",12-8th centuries BCE,Eastern Europe,,"Stasavage, David (2020), The Decline and Rise of Democracy, pp. 58-9.

Jaimoukha, Amjad (2001), The Circassians: A Handbook",,,edited,,,
The Third Dynasty of Ur (DO NOT PURSUE FURTHER),"Énsi, Šagina, Sukal-mah, Hazanum","King/Absolute Monarch (unbound),Bureaucracy,Military force,Magistrate/officials,Blood relations,Heredity,Checks and balances",,Nested enterprises,"'Ur’s rulers controlled a territory divided into separate provinces that had a dual system of administration: each province had a governor who answered to the monarch and who came from a dominant local family.' (p. 45)

Institutional reforms introduced by ruler Shulgi
'1. Create a standing army
2. Create a unified administrative system
3. Introduce a tax system for redistribution
4. Create scribal schools for bureaucrats
5. Reform the writing system
6. Introduce new accounting procedures
7. Reorganize
weights and measures
8. Introduce a new calendar
9. Make yourself a deity' (p. 45)

The ruler Šulgi 'placed all of the households located in one province under the control of that province's governor, a royal appointee.' (Steinkeller, p. 17)

'The provinces themselves were administered by governors (Sumerian énsi), who were royal appointees and could in theory be removed from office or transferred to other posts at the king's pleasure. In practice, however, the office of the governor tended to be hereditary, especially in the latter parts of the period.' (p. 19)
- the kings wished to prevent the office from being hereditary. 'But as conditions began to deteriorate with the accession of Šu-Sin, the preservation of the state became progressively dependent upon the continued support of local elites.'

'Apart from the governor, each province had a district military commander, or general (Sumerian šagina), who, like the governor, resided in the province's capital.' (p. 20)

'Generals enjoyed full independence from the governors and remained under the direct orders of the chancellor (Sumerian sukal-mah) and of the king himself.' (p. 20)
- Both institutions served as checks to each other

'Towns and villages were run by officials called hazanum, ""mayor."" (p. 21)
- They 'exercised the highest legal authority in a given place.' (p. 21)

Institution bala, which 'functioned as a central redistribution system, integrating all the provinces into one interdependent whole.' (p. 23)",22nd - 21st ce. BCE,Middle East,1 million - 10 million members,"Stasavage, David (2020), The Decline and Rise of Democracy

Steinkeller, Piotr (1991), 'The Administrative and Economic Organization of the Ur' in McGuire Gibson and Robert D. Biggs, The Organization of Power Aspects of Bureaucracy in the Ancient Near East",,,DNP,,,
The Three Kingdoms of Ancient Egypt,"Pharaoh, Vizier (t3.ty), 'Overseer of the Treasury' (imy-r htm), 'Overseer of Police(men)' (imy-r sntw) and the '(Reception-)hall of the pr-nsw' (h3 n pr-nsw), 'Overseer of the District' (imy-r w), Royal Court, 'Hearers' (sdmw) and 'The Great Prison' (hnrt wr), Herald (whm.w) and Herald's Office  , Djadjat Council 'men of the circle', Qenbet Council 'men of the angle', Mayors, Priests","Petition,King/Absolute Monarch (unbound),Theocracy,Divine right,Punishment,Corporal punishment/Violence against perpetrator,Tribunal/Court,Jury/Judge,Bureaucracy,Magistrate/officials,Police,Litigation,Blood relations,Heredity,Consultation,Checks and balances,Council (local),Paying damages/compensation,Appeal","Written rules, Supernatural, Ritual, Innovation, Gender equality, Strict hierarchy/caste system",,"Pharaoh relied heavily on his advisors when making decisions. As such, Royal Court had high enough authority to impose corporal punishments. Vizier, acting as Pharaoh's deputy, oversaw the administration of the Royal Court and partook in the decision-making process. Royal Court itself was heavily bureaucratic just like Egypt in general and was divided into various departments such as treasury, police, district, and each department had its main overseer who had to answer to Vizier. To ensure Vizier's informedness there was an institution of 'Hearers' who acted as the system of bureaucratic control. 

There were also local Pharaoh's administrations around Egypt run by the Herald, who informed Pharaoh of people's aspirations and acted as pharaoh's mouthpiece.
For local decision-making and legal proceedings there were two councils - Djadjat and Qenbet. Djadjat was the dominant council in the Old and Middle Kingdoms, and Qenbet was dominant in the New Kingdom. However, they both did exist during all three kingdoms just with varying levels of importance. From the readings, I got the impression that Qenbet was more concerned with local justice and Djadjat with local governance. They were run by local notables such as Mayors and Priests.


A story about the 'Eloquent Peasant' that shows the Egyptian Institution of Petitioning:

----- BACKSTORY OF ROBBERY -----
p. 1
“There was a man called Khunanup. He was a peasant of the Wadi Natrun and he had a wife called Meret”
“This peasant said to his wife of his: ‘Look, I am going to Egypt to fetch provisions there for my children’”
p. 3
“[???]”
p. 5
“He [peasant] came across a man”
“His name was Nemtinakht and he was the son of a man called Isry”
“These were liegemen of the high steward Rensi, son of Meru”
“And the Nemitinakht said, when he saw the donkeys of this peasant, which were desirable to his heart:”
p. 6
“‘Would that I had some divine image with which I could rob the good of this peasant!”
“Now, the house of the Nemtinakht was at a waterside path that was narrow, it was not broad: it measured the width of a loincloth. Its one side was under water, the other=er under barley.”
“This Nemtinankht then said to a servant of his:”
p. 7
“’Hurry, and bring me a cape from my house!’”
“Then he spread it out on the waterside path, so that its hem came to rest on water, and its selvage on the barley.”
“And this peasant came on the public path”
“This Nemtinakht then said: ‘Beware, peasant, you will not step on my clothes!”
p. 8
“And the peasant said: ‘I shall do what you wish; my way is good.’”
“And he went up higher. Then this Nemtinakht said: ‘Is my Upper-Egyptian barley to be a path for you?’”
“And this peasant said: ‘My ways are good; the bank is steep, and the ways are under barley for you block our path with your clothes!’”
p. 9
“’Will you then not allow us to pass on the path?’”
“As he had finished saying […] words, then one of the donkeys filled its mouth with a wisp of barley.”
“And this Nemtinakht said: ‘But look, your donkey is eating my barley!”
p. 10
… “I will buy my donkey for 10 times the value”
“Now, I know the lord of this district; it belongs to the high steward Rensi, son of Meru. He is the one who restrains every thief in this entire land.”
“Shall I now be robbed in his district?”
p. 11
…
“Then, he [Nemtinakht] took a rod of fresh tamarisk to him, and he thrashed all his [peasant’s] limbs with it, took his donkey away and drove them to his district”

----- STORY OF PETITIONING -----
p. 13
“Then this peasant spent a period of 10 days pleading with this Nemtinakht, but he did not pay attention to it.”
“This peasant then went to Herakleopolis in order to plead with the high steward Rensi, son of Meru”
p. 14
“He [peasant] found him [high steward Rensi] emerging from the door of his house, to step into his official boat.”
“And this peasant said: ‘May I be allowed to inform you about this grievance. Perhaps one may have a servant of your choice come to me, so that I may have him report to you about it.’”
p. 15-16
“And the high steward Rensi, son of Meru, had a servant of his choice go to him, and this peasant had him report back about this entire matter.”
“Then the high steward Rensi, son of Meru, accused the Nemitinakht to the officials who were with him.”
“But then they said to him: ‘Perhaps it is a peasant of his who went to someone else behind him. Look, that is what they do to peasants of theirs who have gone to others beside them. That is what they do. Is this a cause for punishing this Nemtinakht, on account of I little natron and a little salt? If he is ordered to replace it, then he will replace it.’”
p. 16
“But the high steward Rensi, son of Meru, remained silent.”
p. 17
“He did not answer these officials, nor did he answer this peasant.”
“Then this peasant came to pleas with him”
p. 21
“The high steward Rensi, son of Meru, then went before His Majesty and said: ‘My lord, I have found one of these peasants who is truly eloquent. By a man who is my peer. His goods have been robbed. He has come to please with me about it.’”
p. 22-23
“And His Majesty said: ‘As you wish to see me in health, you will delay him here without answering anything he says. So that he keeps speaking, remain silent. So that his speech will be brought to us in writing. So that we may hear it. But provide sustenance for the wife and children of this peasant. That one of these peasants comes here is because his house is empty. […] Furthermore, provide sustenance for this peasant himself. You will let the provisions be given to him without letting him know.’”
p. 24
“They were given to friends of his and his friends gave them to him.”
“Then the high steward Rensi, son of Meru, sent a message to the mayor of the Wadi Natrun about making provisions for the wife of this peasant.”
p. 36
“And the peasant came to plead with him for a third time”
P. 44
“When this peasant had said these words, the high steward Rensi, son of Meru, went to the entrance of the portal…”
p. 45
“…and made two guards turn against him with whips, and they thrashed all his limbs therewith”
p. 54
“You were appointed to hear cases, to judge between litigants and to punish the robber”
“But look, what you are doing is supporting the thief”
p. 59
“…and your environment is corrupt. And every man in your environment is corrupt”
p. 60
“High steward, my lord, you are the helm of the entire land, the land sails in accordance with your command. You are the equal of Thoth, who judges without being partial.”
p. 64
“Yet officials should be people who dispel injustice, lords of goodness, craftsmen in creating what is, people who men a severed head.”
p. 71
“And this peasant came to plead with him for a ninth time”
p. 76
“Look, I am pleading with you but you do not hear it.”
“I will go and plead concerning you with Anubis.”
“Then, the high steward Rensi, son of Meru, sent two guards to bring him back”
…
p. 77
“Then the high steward Rensi, son of Meru, said: ‘Don’t be afraid, peasant! Look, you will arrange the matter with me’” …
p. 78
“The high steward Rensi, son of Meru, said: ‘Now wait here and hear your petitions!’ And from a new papyrus roll he had every petition read out according to [its] content”
“Then the high steward Rensi, son of Meru, delivered them to the majesty of the king of Upper and Lower Egypt Nebkaure, justified and they pleased his heart more than anything in his entire land.”
p. 79
“Then His Majesty said: ‘Pass judgement yourself, son of Meru!’
“And the high steward Rensi, son of Meru, sent two guards to [fetch Nemtinakht] Then he was brought and inventory was made of”
p. 80
“this Nemitankht […] to this peasant […] […] […] all his”

","About 2700-1100 BCE
Old Kingdom: about 2700-2200 BCE
Middle Kingdom: about 2050-1800 BCE
New Kingdom: about 1550-1100 BCE
(Dates in between fall under 'Intermediate Periods')",North Africa,1 million - 10 million members,"'- Alexandre Alexandrovich Loktionov, Inclusive governance in Ancient Egypt
- Alexandre Alexandrovich Loktionov, PhD, The Development of the Justice System in Ancient Egypt from the Old to the Middle Kingdom
https://www.repository.cam.ac.uk/handle/1810/292228
- Alexandre Alexandrovich Loktionov, May my nose and ears be cut off: Practical and “supra-practical” Aspects of Mutilation in the Egyptian New Kingdom
- G. P. F. van den Boom, Duties of the Vizier
- Story of the Eloquent Peasant (can be found in the email by Alex Loktionov)
- Tomb Robbery Papyri (can be found in the email by Alex Loktionov)
- Michael Rice, Who's Who in Ancient Egypt
- Juan Carlos Moreno García, Ancient Egyptian Administration",,,Edited,,,
