Name,Communities,CGI,Description,Institutional links,Metanotes
Subak (Irrigation society),Negara Ubud,"Assembly (local),Council (central) ,Assembly (elite)","Group overseeing irrigation. 

Organised exactly like the hamlet with a krama subak and a kilan subak. However, in contrast with the krama banjar, ""the members of the corporation (the krama subak) were, however, not co-residents, but co-proprietors- the owners of terraces irrigated from a single artificial watercourse"" 

- the members of krama subak (irrigation assembly) did not include representation from all the village, but only large landowners and those who irrigated their terraces from a shared water source, making it an elite assembly. 


Furthermore, ""Like the hamlet, the irrigation society could levy fines, exact punish­ments, settle disputes, own property, and determine its own policies"" (p. 50)

The main function of this body was irrigation control. ""The creation and maintenance of water works and the allot­ment of water among users were the central concerns of the subak as a whole."" (pg. 50)
Moreover ""the irrigation society engaged in purificatory ritual performances at special rice field and water-source temples; legitimated transfers of terrace ownership; gave or withheld per­ mission for new  terrace construction; and regulated the timing of the cultivation cycle"" (pg. 51)","Part of Dorpsre­ publiek (village republics) 
",
Pemaksan,Negara Ubud,Council (local),"A religious council ""composed of the members of anywhere from one to perhaps nine or ten hamlets."" Usually, it spanned across three or four contiguous hamlets, and was in charge of organising religious ceremonies and the upkeep of temples. ",The krama banjar (assembly of the hamlet) elected its representative to the Pemaksan. ,
Dadia,Negara Ubud,,"A kinship group of the noble houses. The leadership of the dadia (punggawas) passed from the father to the eldest son, which meant that younger sons frequently broke away from their paternal dadia and formed their own dadia, competing for control of land and resources, which led to political intrigues and schisms. A weak network of internal alliances held the dadia together, but it was made ineffective by constant infighting. ","Though villages were crosscut by tax obligations to different lords or perbekel, they generally fell under the control of a particular dadia. The weakness of this institution allowed for villages to exercise independence in governing themselves. ",
Perbekel,Negara Ubud,,"Lord. Each land-owning male owed taxes and specific obligations to a lord or perbekel. Perbekels had a large number of subjects ranging from different villages, but very little actual power to enforce or collect taxes. Thus, in practise, the only obligations each land-owner had to his perbekel were services for rituals and battles. 

Geertz argues that the feudal and perbekel system were fundamentally different despite having the same lord-subject relationship since Bali did not have fiefdoms within which the perbekel exercised control. In addition to being geographically dispersed, the perbekel had very little real authority and was merely a figurative head or 'stagehand' in the theatre state. ",Not specified,
War-chief,Nlaka'pamux,,"'- ""A war-party, for better management, had a war-chief, who was the one considered by his companions best qualified to act as a leader."" (Teit, p. 289)
- ""The chief rarely decided a question without asking the opinion of his fellow-warriors."" (p. 289)

- ""Under these conditions the title ""chief"" could not be hereditary; but the fact that a man was the son of a chief gained him a certain amount of popularity."" (p. 289)
- ""If, however, he failed to possess or attain the necessary qualifications, he was not called ""chief"", nor would he be considered in any way different from the mass of the people."" (p. 289)
- ""There were no female chiefs"" (p. 289)
- ""No particular costumes or ornaments were worn by the chief."" (p. 289)

- ""If a war-council decided for war, a war-chief was elected, who sent an active young man through the country to invite the warriors to join the party"" (p. 290)
- ""They generally accompanied the herald upon his return to the meeting-place or to the home of the war-chief who had sent him."" (p. 290)
- ""It was considered a mark of distinction for a young man to be chosen for this purpose."" (p. 290)",Elected by the Informal Council,
"Hunting ""chief""",Nlaka'pamux,,"'- ""In hunting-parties, the most efficient man took the lead and directed the others, at their request, but subject to their approval."" (Teit, p. 289)

- ""Under these conditions the title ""chief"" could not be hereditary; but the fact that a man was the son of a chief gained him a certain amount of popularity."" (p. 289)
- ""If, however, he failed to possess or attain the necessary qualifications, he was not called ""chief"", nor would he be considered in any way different from the mass of the people."" (p. 289)
- ""There were no female chiefs"" (p. 289)
- ""No particular costumes or ornaments were worn by the chief."" (p. 289)
",Not specified,
"""Chief"" of the ceremonies and dances",Nlaka'pamux,,"'- ""In religious ceremonies, a capable man who was looked upon as taking the most prominent part was called the ""chief"" of the ceremonies and dances."" (Teit, p. 289)

- ""Under these conditions the title ""chief"" could not be hereditary; but the fact that a man was the son of a chief gained him a certain amount of popularity."" (p. 289)
- ""If, however, he failed to possess or attain the necessary qualifications, he was not called ""chief"", nor would he be considered in any way different from the mass of the people."" (p. 289)
- ""There were no female chiefs"" (p. 289)
- ""No particular costumes or ornaments were worn by the chief."" (p. 289)",Not specified,
Orators,Nlaka'pamux,,"'- ""Orators possessed great influence and power, often swaying the mass of the people as they chose."" (Teit, p. 289)
- ""Most of these are said to have favored peace and harmony."" (p. 289)
- ""When at the same time wise and wealthy, they exerted a very great influence over the people, who willingly obeyed them.""(p. 289)
- ""Some of them were looked upon as the chief men of certain large districts, the people negotiating through them with strangers; yet they seldom or never acted in matters of public interest without obtaining the consent of all their people."" (p. 289)",Not specified,
Informal Councils,Nlaka'pamux,"Council (local),Election,Consultation,Gerontocracy,Meritocracy","'- ""It has been mentioned before that the influential men always consulted with the men of the tribe, but there were no formal councils."" (Teit, p. 289)
- ""Whenever a man had an undertaking in view that concerned the band, he invited the men of the village to discuss it."" (Teit, p. 289)
- ""At these councils such subjects as the organising of war-expeditions, marriages, or other matters of public interest, were discussed, each man having a voice in the matter."" (Teit, p. 289)
- ""Generally the advice of the oldest or the most experienced was taken."" (Teit, p.289)
- ""If the advice or the help of some leading man noted for his wisdom, who lived at some distance, were desired, a messenger was sent to him."" (Teit, p. 289)
- ""The man who called the meeting, and his immediate friends, were expected to furnish food to the people assembled."" (Teit, p. 289)

- ""If a war-council decided for war, a war-chief was elected, who sent an active young man through the country to invite the warriors to join the party"" (Teit, p. 290)
- ""Women had no voice in these councils, nor in any other matters of importance."" (Teit, p. 290)",Elected a War-Chief,
Babylonian king,Sippar,,"Ruler at the top of the hierarchy. 

Hereditary and divine but not very autocratic because he was delegating a lot of power.

All Mesopotamian kings styled themselves as chosen by gods or in many cases as divine beings.",Top authority,
Karum ,Sippar,"Council (central) ,Tribunal/Court ","Port authority with economic, administrative, and legal functions related to all matters concerning log-distance trade,

Headed by the overseer of merchants, and heads of important merchant families.","Working together with the College of Judges and the Overseer of the Merchants
",
Alum,Sippar,Assembly (central),"City Assembly. 

Represents the city as a political, corporate body. 

Unclear who the members are, but probably notables of various kinds and not necessarily the elders.",Unclear,
Sibutu (Elders),Sippar,Council (central) ,"Probably heads of the most influential and wealthiest families of Sippar. gathered to make judicial, diplomatic, administrative, decisions.",Headed by the rabianu,
Overseer of the Merchants,Sippar,,"Head of the Karum. One of the highest ranking officials of the city, first appears as a witness and as a property owner. It has judicial role. Chief administrator of the city. Responsible for the collection of taxes, supervision of the royal granaries",Head of the Karum ,
Rabianu or Hazannu,Sippar,,"Mayor. Appointed by the king for one-year term.

",Head of the elders and superior of the hazannu,
Court,Sippar,Tribunal/Court ,"Made up of Overseer of merchants, Rabianu, members of the Karum, and college of judges. Probably court overseeing big and important disputes.

",Headed by the Overseer of the Merchants,
College of Judges,Sippar,,"King's judges (coming from both Babylonia and Sippar). They have the local judiciary function, with the possibility to appeal to the king in case there is any dissatisfaction with the verdict rendered.",Part of the Court,
Sandabakku,Sippar,,"Collector of taxes and witness to sale of royal fields. It is a remunerated position, similar to the sukkallu.",Most important of the royal officials. ,
Sukkallu,Sippar,,Representative of the palace in Sippar,"Similar work of the Sandabakku, but less prestigious.",
Rakbu,Sippar,,"Similar to a messenger. However, specific functions are not clear","Royal official, together with Sandabakku and Sukkallu",
Babtu,Sippar,,"City wards that constituted Sippar. Small administrative units concerned with local policing and sanitation. Sometimes with functions of judicial body. 
",It is possible that this administrative unit was headed by the hazannu.,
Pukhtunwali,Pathan Hill Tribes/Pashtuns,,The Code of the Pathans,Affects all other institutions,
Jirga,Pathan Hill Tribes/Pashtuns,"Council (local),Tribunal/Court ,Deliberation,Public meetings","Council of Elders, acting as arbitrator in local feuds. Can impose several forms of punishment. According to Ginsburg, a council of local notables, all equal, who deliberate openly and whose meetings are held in public (though women and children cannot attend)","On equal footing with Malik and Mullah, separation of power 'quasi-constitutional', according to Ginsburg (p. 99)",
Malik,Pathan Hill Tribes/Pashtuns,,"Leader (e.g. in a tribe, clan, family...), ""primus inter pares""","On equal footing with Jirga and Mullah, separation of power 'quasi-constitutional', according to Ginsburg (p. 99)",
Lashkar,Pathan Hill Tribes/Pashtuns,,"Army that can aid the Jirga, disbanded after a task is completed",Cooperation with the Jirga,
Mullah,Pathan Hill Tribes/Pashtuns,,Repository of religious law,"On equal footing with Malik and Jirga, separation of power 'quasi-constitutional', according to Ginsburg (p. 99)",
King,Phoenicia,,"Ruler of a city state. 

Monarchical power wanes with time: ""Throughout their long history, the Phoenician cities fell under the sway of the Egyptians, Assyrians, Babylonians and later the Persians and Macedonians. Invasion and internal dissension saw the kings' power decline while the councils' base broadened and their power grew. It was during these periods of invasion and upheaval that the councils of elders exerted their authority."" Stockwell Before Athens p. 127",Advised by the council,
Council of Elders,Phoenicia,"Council (central) ,Consultation","'local kings consulted on important matters of the state and who could even frustrate a king’s will' (p. 38)

'Acted on their own behalf' (p. 38)",Advised the king but could also act on their own behalf,
Assemblies,Phoenicia,"Assembly (central),Deliberation","Deliberative bodies representing the people. 

Some evidence from the Amarna Letters, from Tunip, Byblos, Arwad and in the towns of Egypt.","Check the king and, from time to time, are sovereign when auhtority of the king wanes",
Consuls,Pisa,,"Retributed Members of the Commune, with legislative and economic powers (i.e., able to intervene in transactions on behalf of Pisan church, the city and the contado) 

Heywood, W p. 12 (""The Commune had, in fact, succedeed to all the power of the Visconte, and, from the first decade of the 12th century, we find the Consuls intervening in many transactions which affected the temporalities of the Pisan Church both in the city and in the contado."") | Heywood, W p.241 (""Their salaries were derisory, scarcely indemnifying them for expenses of their office"")","The consuls participate in both the Commune Consilium and the Colloquium Civitatis
",
Commune Consilium of Sapientes or Boni Homines,Pisa,Council (central) ,"Aristocracy of merchants and armatori, participating in the formation of the law, similar to a Senate.

Heywood, W p. 7 (""Thereafter, the Commune was established on a solid legal basis by two, or perhaps three, Imperial diplomas, but the earliest of these was not granted until the second quarter of the 12th century, when the Pisans had already been ruled by their own Consuls for more than forty years"") | Heywood, W p. 10 (""There was a Commune Consilium of Sapientes or Boni homines, a species of Senate"") | Heywood, W p. 12 (""The Commune had, in fact, succeeded to all the power of the Visconte, and, from the first decade of the 12th century, we find the Consuls intervening in many transactions which affected the temporalities of the Pisan Church both in the city and in the contado."") | Heywood, W p. 13 (""From the nature of the case, the Territorial jurisdiction of the nascent Commune had been purely voluntary, representing as it were the sum of all the fragments of authority which the associated families separately enjoyed and exercised. In process of time, however, as the associative nucleus acquired greater cohesion and stability, a vigorous collective life destroyed the personality of the individual associates, and, little by little, those jurisdictional rights which its members had previously exercised over their own allodial and feudal estates were transferred to the body politic. Thus, almost from the first, the new-born Commune passed considerable territorial jurisdiction, and this it naturally sought to consolidate and enlarge"") | Heywood, W p. 235 (""The Commune was in its inception simply a private association; and a private association it long remained. The armatori and merchant adventurers who formed its constituent parts were rather an aristocracy than an oligarchy; and they were able to maintain and extend their authority because they were, in fact, not merely the best but also the only possible interpreters of the aspirations and ambitions of their fellow-citizens"") | Heywood, W p.238 (""All the organs of the Commune, whether administrative or judicial, and, indeed, we may almost say the whole population, participated in the formation of the law. The daily routine of communal business enabled the individual citizen to perceive where and how the existing statutes were defective"")",Made up of consuls,
Colloquium Civitatis,Pisa,"Assembly (central),Consultation","Citizen Assembly, largely consultative

Hewyood, W p. 10 (""There was (…) a Colloquim Civitatis or General Assembly of all the citizens, afterwards to develop into the Parlamentum or Arrengo"") | Heywood, W p.238 (""When the sense of the community was in favour of a change, the General Council, or the Emendatori, gave concrete form to the popular desire and embodied it in a new rubric"")","Made of citizens and consuls, working in parallel with the Commune
",
Head Captain,Pomo,,"Head Captain did not have absolute authority, and as such was more of the face of the tribe whose job was to welcome visitors and announce the decisions of the Council. He was elected among Hereditary Captains by the people. 

- ""From among these [hereditary captains] the people elect a head captain."" (Barrett, p. 339)
- ""Not even the head captain has absolute authority, nor has any captain important judicial power, or power to inflict punishment."" (Barrett, p. 339)
- ""The special duties of the head captain in olden times were to welcome and entertain visitors from other villages, and to meet in council with the other captains concerning matters of general public welfare, and to arrange for and preside over ceremonies."" (Barrett, p. 339)

- ""The captains of the village discussed with other important men the question of holding a ceremony, just as they discussed other matters relating to the general public good."" (Barrett, p. 402) 
- ""Having agreed upon the date and other details, the head captain usually walked through the village delivering an oration, as was customary upon occasions of importance, in which he announced to the people the decision of their captains."" (Barrett, p. 402) 
- ""This oration might, however, be delivered as he stood before the door of his own house or before the door of the dance-house."" (Barrett, p. 402)
","People elect Head Captain among Hereditary Captains.
They are also members of the Council.",
Hereditary Captains ,Pomo,,"Heads of the political blood units that formed the village. They made up the majority of the Council and considering the nature of their origin, they most likely acted as the representatives of their units. 

- ""As has been elsewhere pointed out,[2] the social organization of the Pomo is based primarily upon blood relationship, the blood relatives who resided in a definite village grouping themselves into a political unit under the leadership of an hereditary ""captain."""" (Barrett, p. 339)
- ""Usually several of these consanguineal units comprise a village, and their captains form its governing body."" (Barrett, p. 339) 
- ""From among these the people elect a head captain."" (Barrett, p. 339)

- ""The captains of the village discussed with other important men the question of holding a ceremony, just as they discussed other matters relating to the general public good."" (Barrett, p. 402)
- ""Having agreed upon the date and other details, the head captain usually walked through the village delivering an oration, as was customary upon occasions of importance, in which he announced to the people the decision of their captains."" (Barrett, p. 402)
","Members of the Council.
Amongst them the Head Captain was elected by the people.",
Male Honorary Captain,Pomo,,"Male Honorary Captain resembled a rich-person man of its neighbouring tribes (Northern Maidu, Kawaiisu, Tubatulabal, Yuki) in the sense that he was the most popular man in the village. He, however, was not the Hereditary Head of the political blood unit. As such he earned his position on the council through people's trust and respect.

- ""What may be termed an honorary captainship was accorded any man who, through his wealth or his prowess as a hunter, made himself very popular by providing large quantities of food and numerous feasts for the people."" (Barrett, p. 339)
- ""Neither of these honorary offices, however, was hereditary."" (Barrett, p. 339)
- ""In spite of the ambiguous nature of the office, incumbents were accorded great respect at ceremonies and other public functions.""(Barrett, p. 339)
- ""The captains of the village discussed with other important men the question of holding a ceremony, just as they discussed other matters relating to the general public good."" (Barrett, p. 402) ",Member of the Council,
Female Honorary Captain,Pomo,,"Female Honorary Captain was a female counterpart of the male Honorary Captain and the female version of the 'rich-person man' that was present in the neighbouring tribes (such as Northern Maidu, Kawaiisu, Tubatulabal, Yuki). The most popular woman in the village was awarded this title and hence was allowed to contribute to decision making.

- ""A similar honorary office, that of female captain, da´ xalik (E), was based upon a woman's popularity, which depended in turn on her good-heartedness and her fame as a cook."" (Barrett, p. 339)
- ""Neither of these honorary offices, however, was hereditary."" (Barrett, p. 339)
- ""In spite of the ambiguous nature of the office, incumbents were accorded great respect at ceremonies and other public functions."" (Barrett, p. 339)
- ""The captains of the village discussed with other important men the question of holding a ceremony, just as they discussed other matters relating to the general public good."" (Barrett, p. 402) 
",Member of the Council,
Ceremonial Officials,Pomo,,"There were also other Officials who did not partake in government affairs but were important Ceremonial Officials. See their descriptions below:

- ""The other officials had duties almost, if not quite, exclusively connected with ceremonies and had nothing directly to do with governmental affairs."" (Barrett, p. 339)
- ""We may recognize the fire-tenders, the head singers, the chorus singers, the drummers, and the masters of ceremonies."" (Barrett, p. 339)
- ""Such offices were considered very honorable and were, as a rule, hereditary."" (Barrett, p. 339) 
- ""This was particularly true of the offices of fire-tender, head singer, and drummer, in which the succession followed precisely the same rules as did the chieftainship."" (Barrett, p. 339)

---Fire-tenders---
- ""The fire-tenders, called me´dze (N) and la´imoc (E), were officials of very great importance."" (Barrett, p. 339)
- ""Connected with each of the large, semi-subterranean ""dance-houses""[3] there were two fire-tenders, who saw to all matters concerning the fire and the preparation of the dance-house except actually procuring the firewood."" (Barrett, p. 339)
- ""All the men participating in the ceremony were supposed to bring wood, which they placed just outside the dance-house."" (Barrett, p. 400)
- ""One of the fire-tenders then carried it up and dropped it through the smoke-hole, while the other stacked it in ricks in the proper places within the house.2 (Barrett, p. 400)
- ""As remuneration for their labor, they received the beads which were thrown at the dancers[4] by the people during the ceremony and which were swept up when the dance-house was cleaned."" (Barrett, p. 400)

---Head singer---
- ""The head singer, called ke´ kai tca (C) and ke´ūya (E), was a man of great importance in ceremonies, though he was very inconspicuous. It was his duty to plan previously the proper sequence of the dances and songs, and it was also his duty to start all songs and to carry the air."" (p. 400)
- ""The head singer had to possess a very good voice, and had to make it his business to know the songs for the various ceremonies."" (p. 400)
- ""Now and then he was at a loss for the proper song for a particular occasion."" (p. 400) 
- ""He was allowed to consult some other singer, or, upon occasion, he might ask for suggestions from the audience."" (p. 400) 
- ""Any one who knew a song which fitted the occasion might come to the head singer and sing it for him in an undertone, until he caught it and was ready to lead in the singing."" (p. 400) 
- ""As a rule he kept time with a split-stick rattle, or a rattle made of cocoons."" (p. 400)

---Chorus/Burden-singers---
- ""The chorus or burden-singers, called skam (E), gave volume to the music and marked time with their split-stick rattles, hai mitamitaka (N)."" (p. 400) 
- ""Their usual burden was ""he, he, he, he, ..."" sung in a heavy monotone."" (p. 400)

---Drummers---
- ""The drummers, called tsīlo´ gaūk (E), tsīlo´ tca (C), and tsīlo´ matūtsī (E), were always two in number, and as a rule they took turns in playing the large wooden drum which was set in the ground at the rear of the dance-house, and which was beaten by the stamping of the feet."" (p. 400) 
- ""The office of drummer was considered one of the most important, and second only to that of fire-tender."" (p. 400)

Master of ceremonies
- ""The master of ceremonies, called xabē´ dima (E), xabē´gaūk (E), and he´līma (C), started and stopped all songs and dances by certain signals."" (p. 400) 
- ""The participants in the dance usually maintained certain positions, but the master of ceremonies ran about from place to place supervising the activities and giving directions as required."" (p. 400) 
- ""His presence was absolutely necessary at all ceremonies, and without him a dance could not proceed."" (p. 401) 
- ""He acted under the general direction of the head captain, but that official himself never served as master of ceremonies."" (p. 401) 
- ""Very rarely did the same individual serve as master of ceremonies and head singer."" (p. 401) 
- ""While as a rule the drummers and the singers wore no special dress for ceremonial occasions, the masters of ceremonies were almost always painted and dressed according to different requirements for each ceremony (see below)."" (p. 401) 
- ""They were usually among the dancers who impersonated supernatural beings."" (p. 401)
",Master of ceremonies acted under the general direction of the Head Captain,
Council,Pomo,"Council (central) ,Representation","Consisted of the Head Captain, Hereditary Captains and Honorary Captains. Hereditary Captains represented their political blood units. Honorary Captains were there because of their popularity. And the Head Captain was an elected body that announced the decisions made by the Council. 
Council was concerned with general public welfare as well as ceremonies.
These Captains, however, also discussed these matters with other important men.


- ""The special duties of the head captain in olden times were to welcome and entertain visitors from other villages, and to meet in council with the other captains concerning matters of general public welfare, and to arrange for and preside over ceremonies."" (Barrett, p. 339)
- ""The captains of the village discussed with other important men the question of holding a ceremony, just as they discussed other matters relating to the general public good."" (Barrett, p. 402)","Consisted of captains (Head Captain, Hereditary Captains and Honorary Captains).
Consulted with other important men.",
shaykh or sayyid,Arab nomads,,"lit. ""old man"", tribe head recognized by others in a selection process and ruling in a consensual manner",Not specified,
shura or mashwara,Arab nomads,,principle of consultation,Not specified,
Concilium Plebis,Rome (republic),"Assembly (central),Election","Plebeian assembly granted by the patricians. Elected their own officials and tribunes

'passed plebiscites proposed by the tribunes' (p. 33)",Required the senate's or magister's approval until Lex Hortensia,
Roman senate,Rome (republic),Council (central) ,Main decision-making institution with two consuls in head until the establishment of the empire.,Not specified,
Roman consuls,Rome (republic),,"'held the imperium (executive power) once wielded by the king. During their year in office, the consuls were the political and military heads of the state. They presided over the Senate, proposed laws if required, and commanded armies in the field.' (p. 30)",Top officials during the republic,
Praetor,Rome (republic),,"'the only magistrate apart from the consul to hold imperium, the right
to command armies and preside over the Senate.","In the absence of consuls, he was the most senior official",
Aediles,Rome (republic),,"'responsible for the urban maintenance of Rome, including roads, water supply, food, and games.' (p. 31)
",Elected by the Plebeian Council ,
Quaestors,Rome (republic),,'performed financial and legal duties.' (p. 31),"During the republic, the lowest office

During the empire, head of the imperial council",
Censor,Rome (republic),,"'Two censors were elected approximately every five years, but they held office only until they had completed their functions and never for longer than 18 months. Their primary role was to revise the list of citizens and assess both their property and their morality. This duty included a review of the Senate, into which they could enrol new members and remove any found guilty of improper behaviour.' (p. 31-2)","Elected by the Centuriate Assembly

Only another censor could oppose the decisions of a censor

",
Comitia Centuriata,Rome (republic),"Assembly (central),Election",'elected consuls and praetors and made declarations of war.' (p. 33),"Elected the highest ranking officials

Ratified the results of a Census",
Dictator,"Rome (republic),Latium",,"Called upon in times of crises for half a year.

Absolute powers","During a dictatorship, the official was above all institutions",
Tribunes of the plebs,Rome (republic),,Represented the plebeians. Important check on the senate,Important check on the senate,
Communal Assembly (skhod),Russian Communes,"Assembly (local),Election,Gerontocracy,Vote by proxy,Majority voting,Supermajority,Public meetings","An assembly open to every member of the commune, who participated in arriving at most decisions. It was also a place where officials were elected, who were responsible for certain matters. It was run mostly by peasant elders, and the right to vote was reserved by male heads of households (but when unable to attend they could give their votes to proxies, who could be women). 

-	""Members of each settlement attended volost’ assembly (skhod), which elected communal officials, including an elder and tax collector."" (Moon, p. 201)
-       ""Run mostly by peasant elders"" (Moon, p. 199)
-	""The commune meetings seem to have been informal gatherings at which any villager could speak, but the right to vote was limited to the male heads of households."" (Blum, p. 524)
-	""If a head of a household could not attend he could give his vote to a proxy, who could be a woman."" (Blum, p. 524)
-	""Usually a simple majority was enough to carry a motion, but on important questions a majority of two thirds was considered necessary."" (Blum, p. 524)
-	""The entire commune participated in arriving at most decisions."" (Blum, p. 524)

- ""Communes directed the village economy, especially the three-field system of crop rotation."" (Moon, p. 199)
- ""Communes played a vital role in supervising the cultivation and use of their land."" (Blum, p. 222)
- ""Communes directed the clearance of land from forest or steppe in the long-fallow systems used in the earlier times, and later, in some outlying regions."" (Blum, p. 222)
- ""Communal tenure and regulation did not mean collective farming: households cultivated their strips of arable land individually."" (Blum, p. 222)
- ""Nevertheless, every household had to sow and harvest the same crops in each field at the same time."" (Blum, p. 222)
- ""Since the fields were split into many strips worked by different households, communal tillage had to be practiced."" (Blum, p. 525)
- ""That is, everyone had to perform the same operations in the fields at the same time."" (Blum, p. 525)
- ""The mir decided what work was to be done in a field and when to do it."" (Blum, p. 525)
- ""It had its own treasury, built up by levies on its members or by sale of communally produced goods, and used the money to care for its indigent, sick and aged members, and to rent and even buy land so that it would have more to parcel out."" (Blum, p. 525)
- ""It usually determined the order in which its young men went into the army as recruits."" (Blum, p. 525)

- ""Many communes made some provision for the welfare of their members."" (Moon, p. 225)
- ""Communes sometimes temporarily suspended or waived the obligations of weaker households, or lent them money."" (Moon, p. 225)
- ""Communes organised assistance (pomoch’) for households that had fallen on hard times by arranging for some villagers to help out with arduous tasks, or to cultivate land for families that lacked the labourers to do it for themselves."" (Moon, p. 225)
- ""Households that received assistance rewarded their helpers with food and drink, especially vodka."" (Moon, p. 226)
- ""Pomoch’ was a kind of mutual insurance policy."" (Moon, p. 226)
- ""The households’ misfortune was short term and, in time, they would once again be economically viable and capable of making their contribution to the commune’s obligations."" (Moon, p. 226)
- ""Communes were not prepared to provide a permanent “safety net” for all poor families."" (Moon, p. 226)
- ""They did not want to use valuable resources supporting households whose hardships seemed long term since they would become “free riders”."" (Moon, p. 226)",Elected communal officials including an elder and tax collector,
Tax collector,Russian Communes,,"Collected tax for the Duke

-	""Members of each settlement attended volost’ assembly (skhod), which elected communal officials, including an elder and tax collector."" (Moon, p. 201)
-	""The commune’s own assessors had to apportion these royal taxes and obligations equitably among its members, gather the levies, and turn them over to the duke's officials."" (p. 96)","Elected through Communal Assembly.
Collected tax for the Duke.",
Clerk,Russian Communes,,"Member of the Christian Orthodox church responsible for keeping records.

-	""The clerk of the mir enjoyed much power and prestige, for often he was the only person in the commune who could read and write. ""(Blum, p. 523)
-	""Unfortunately, his learning was usually small and his palm easily crossed."" (Blum, p. 523)
-	""As a result, in many communes the account books were in a state of confusion."" (Blum, p. 523)
- ""The clergy was an hereditary caste."" (Blum, p. 55)
- ""Sons were presumably trained to follow their fathers into the ministry; the boy who had not learned his letters was unable to enter the calling for which he was destined."" (Blum, p. 55)",There was one in each commune. Member of Church.,
Commune Officials,Russian Communes,,"Elected by the commune members through the Communal Assembly (skhod). Were responsible for the redistribution of holdings, arrangements of marriages, maintenance of public order and security within the commune's boundaries and provisions of guardians for orphans and the feeble-minded.

-	""Members of each settlement attended volost’ assembly (skhod), which elected communal officials, including an elder and tax collector."" (Moon, p. 201)
-	""Each commune was semi-autonomous, and was run by officers chosen by the commune members from among their fellows."" (Blum, p. 96)
-	""The volost managed all those parts of its territory that were not held by individual peasants, such as forests, common pasture, streams, and fisheries."" (Blum, p. 96)
-	""It supervised the establishment of new homesteads within its boundaries, the distribution of unoccupied arable, and the resettling of vacated holdings."" (Blum, p. 96)
-	""Newcomers were welcomed, sometimes being given several years of freedom from paying their share of the communal obligations."" (Blum, p. 96)
-	""Volost officials were also responsible for the maintenance of public order and security within the commune’s boundaries."" (Blum, p. 96)
-      ""Certain matters such as the redistribution of holdings, arrangements of marriages, and provisions of guardians for orphans and the feeble-minded, were left to the discretion of the officials elected by the commune."" (Blum, p. 524)
-      ""Its officials assisted the proprietor in punishing minor infractions, and often he imposed severe penalties such as exile at their suggestion."" (Blum, p. 525)",Elected through Communal Assembly,
Duke,Russian Communes,,"The ruler of the region, where communes were located to whom tax had to be paid in order to self-govern.

-	""But the ruler of each princedom considered the black land, like all real property in his realm, part of his patrimony."" (Blum, p. 93)
-	""The black people themselves accepted it by paying him a regular quitrent."" (Blum, p. 93)
-	""They acted as if land belonged to them, buying and selling holdings to one another or passing them on to their heirs."" (Blum, p. 93)
-	""Although the land held by the peasant actually belonged to a private proprietor, or to the prince if it was black land, the peasant had virtually all the rights of ownership over his holding, so long as he worked it, and so long as he paid the obligations demanded by its proprietor. "" (Blum, p. 97)
-	""He could rent or sell the use of all or part of it to anyone he chose, provided that the new occupant was a person capable of working the land and meeting the obligations attached to its possession, he could mortgage it, and he could dispose of it as he wished in his testament."" (Blum, p. 97)
-	""He could stay on it as long as he wanted, and he was free to leave it at his own discretion (although the time of his departure began to be regulated in the latter 15th century)."" (Blum, p. 97)
-	""The extensive rights of the Russian peasants over their holdings were analogous to those enjoyed by peasants in other lands of Eastern and Central Europe, who lived under the provisions of the so-called “German Law”."" (Blum, p. 97)

-	""The prince levied his imposts upon the commune as a unit, and not upon the persons or lands or incomes of its individual members."" (Blum, p. 96)

Liza's Note: sources in English refer to this position both as 'Duke' and 'Prince', but in my opinion 'Duke' is the closest translation.",Rules over the communes,
Church,Russian Communes,,"Spiritual institution.
- ""The church continued in its policy of urging humane treatment of slaves, and was particularly successful in its encouragement of emancipation by testament."" (Blum, p. 113)",Clerk was a member of the Church,
Nine Governors and Defenders of the Sienese Commune,Siena,,"aka The Nine, a body of officials each of whom served a two-month term. 

The election procedure for these officials was intricate and was modified on several occasions between 1287 and 1355. There were two constants to this procedure though. First, there was always significant formal weight given to Siena’s merchant guild in selecting both the members of the Nine and the members of the Council of the Bell. Second, there were specific restrictions on the types of individuals who could serve on the Nine. 

Authorised new expenditures",Not specified,
Council of the Bell,Siena,,"City council

Authorised new expenditures

Met once a week",Not specified,
Podesta,Siena,,Chief exectutive. Similar to the Genoese.,Chief executive,
Congress of confederate representatives,Switzerland,"Assembly (central),Majority voting,Representation,Unanimity,Delegation,Temporary position of power/Term Limits,Assembly (elite)","Assembly of delegates representing the cantons, also known as confederal diet (Tagsatzung). Decides upon all maters, including currently, defense and foreign treaties (Lau, p. 188ff)

Delegates from the urban cantons were elected in town councils, delegates from rural cantons were elected by assemblies open to all free men (with some exceptions). They all have a fixed term in office. they all belong to the local elites

Decision to hold a meeting of the diet could come upon request from any cantons

Majority voting used for administrative matters, unanimity for everything else.

Debate follows a very formal procedure "" The very formalised procedure (Umfrage) followed a fixed order. The first allowed to speak was always the mayor of Zurich. Those who were the
first in line (like Zurich, Berne, Schwyz and Lucerne) were the most influential. The others usually agreed with one of these leading opinion makers. The procedure went on until a unanimous vote was reached or the cantons agreed to drop the matter."" p. 189",Represents the cantons,
